Date,Value 1
01-Jun-2021,15630
02-Jun-2021,15520
03-Jun-2021,15656
04-Jun-2021,15713
07-Jun-2021,15725
08-Jun-2021,15774
09-Jun-2021,15766
10-Jun-2021,15692
11-Jun-2021,15796
14-Jun-2021,15791
15-Jun-2021,15867
16-Jun-2021,15848
17-Jun-2021,15648
18-Jun-2021,15757
21-Jun-2021,15526
22-Jun-2021,15841
23-Jun-2021,15863
24-Jun-2021,15737
25-Jun-2021,15839
28-Jun-2021,15915
29-Jun-2021,15808
30-Jun-2021,15777
01-Jul-2021,15755
02-Jul-2021,15706
05-Jul-2021,15793
06-Jul-2021,15814
07-Jul-2021,15820
08-Jul-2021,15855
09-Jul-2021,15688
12-Jul-2021,15767
13-Jul-2021,15794
14-Jul-2021,15809
15-Jul-2021,15872
16-Jul-2021,15958
19-Jul-2021,15755
20-Jul-2021,15704
22-Jul-2021,15737
23-Jul-2021,15857
26-Jul-2021,15849
27-Jul-2021,15861
28-Jul-2021,15762
29-Jul-2021,15763
30-Jul-2021,15801
02-Aug-2021,15875
03-Aug-2021,15952
04-Aug-2021,16195
05-Aug-2021,16289
06-Aug-2021,16304
09-Aug-2021,16281
10-Aug-2021,16275
11-Aug-2021,16327
12-Aug-2021,16304
13-Aug-2021,16386
16-Aug-2021,16518
17-Aug-2021,16545
18-Aug-2021,16692
20-Aug-2021,16383
23-Aug-2021,16592
24-Aug-2021,16561
25-Aug-2021,16654
26-Aug-2021,16628
27-Aug-2021,16643
30-Aug-2021,16776
31-Aug-2021,16948
01-Sep-2021,17186
02-Sep-2021,17095
03-Sep-2021,17262
06-Sep-2021,17399
07-Sep-2021,17402
08-Sep-2021,17376
09-Sep-2021,17313
13-Sep-2021,17364
14-Sep-2021,17420
15-Sep-2021,17388
16-Sep-2021,17539
17-Sep-2021,17710
20-Sep-2021,17444
21-Sep-2021,17451
22-Sep-2021,17581
23-Sep-2021,17671
24-Sep-2021,17897
27-Sep-2021,17932
28-Sep-2021,17906
29-Sep-2021,17658
30-Sep-2021,17719
01-Oct-2021,17532
04-Oct-2021,17616
05-Oct-2021,17661
06-Oct-2021,17862
07-Oct-2021,17811
08-Oct-2021,17887
11-Oct-2021,17868
12-Oct-2021,17916
13-Oct-2021,18098
14-Oct-2021,18273
18-Oct-2021,18500
19-Oct-2021,18602
20-Oct-2021,18440
21-Oct-2021,18383
22-Oct-2021,18231
25-Oct-2021,18230
26-Oct-2021,18155
27-Oct-2021,18296
28-Oct-2021,18188
29-Oct-2021,17833
01-Nov-2021,17783
02-Nov-2021,17971
03-Nov-2021,17948
04-Nov-2021,17935
08-Nov-2021,18040
09-Nov-2021,18084
10-Nov-2021,17973
11-Nov-2021,17967
12-Nov-2021,17978
15-Nov-2021,18141
16-Nov-2021,18127
17-Nov-2021,17939
18-Nov-2021,17891
22-Nov-2021,17796
23-Nov-2021,17282
24-Nov-2021,17550
25-Nov-2021,17417
26-Nov-2021,17339
29-Nov-2021,17056
30-Nov-2021,17051
01-Dec-2021,17104
02-Dec-2021,17183
03-Dec-2021,17425
06-Dec-2021,17209
07-Dec-2021,17044
08-Dec-2021,17315
09-Dec-2021,17524
10-Dec-2021,17476
13-Dec-2021,17619
14-Dec-2021,17283
15-Dec-2021,17324
16-Dec-2021,17373
17-Dec-2021,17276
20-Dec-2021,16824
21-Dec-2021,16773
22-Dec-2021,16866
23-Dec-2021,17067
24-Dec-2021,17150
27-Dec-2021,16938
28-Dec-2021,17178
29-Dec-2021,17220
30-Dec-2021,17201
