Date,Value 4
01-Jun-2021,15575
02-Jun-2021,15576
03-Jun-2021,15690
04-Jun-2021,15670
07-Jun-2021,15752
08-Jun-2021,15740
09-Jun-2021,15635
10-Jun-2021,15738
11-Jun-2021,15799
14-Jun-2021,15812
15-Jun-2021,15869
16-Jun-2021,15768
17-Jun-2021,15691
18-Jun-2021,15683
21-Jun-2021,15747
22-Jun-2021,15773
23-Jun-2021,15687
24-Jun-2021,15790
25-Jun-2021,15860
28-Jun-2021,15815
29-Jun-2021,15748
30-Jun-2021,15722
01-Jul-2021,15680
02-Jul-2021,15722
05-Jul-2021,15834
06-Jul-2021,15818
07-Jul-2021,15880
08-Jul-2021,15728
09-Jul-2021,15690
12-Jul-2021,15693
13-Jul-2021,15812
14-Jul-2021,15854
15-Jul-2021,15924
16-Jul-2021,15923
19-Jul-2021,15752
20-Jul-2021,15632
22-Jul-2021,15824
23-Jul-2021,15856
26-Jul-2021,15824
27-Jul-2021,15746
28-Jul-2021,15709
29-Jul-2021,15778
30-Jul-2021,15763
02-Aug-2021,15885
03-Aug-2021,16131
04-Aug-2021,16259
05-Aug-2021,16295
06-Aug-2021,16238
09-Aug-2021,16258
10-Aug-2021,16280
11-Aug-2021,16282
12-Aug-2021,16364
13-Aug-2021,16529
16-Aug-2021,16563
17-Aug-2021,16615
18-Aug-2021,16569
20-Aug-2021,16451
23-Aug-2021,16496
24-Aug-2021,16625
25-Aug-2021,16635
26-Aug-2021,16637
27-Aug-2021,16705
30-Aug-2021,16931
31-Aug-2021,17132
01-Sep-2021,17076
02-Sep-2021,17234
03-Sep-2021,17324
06-Sep-2021,17378
07-Sep-2021,17362
08-Sep-2021,17354
09-Sep-2021,17369
13-Sep-2021,17355
14-Sep-2021,17380
15-Sep-2021,17519
16-Sep-2021,17630
17-Sep-2021,17585
20-Sep-2021,17397
21-Sep-2021,17562
22-Sep-2021,17547
23-Sep-2021,17823
24-Sep-2021,17853
27-Sep-2021,17855
28-Sep-2021,17749
29-Sep-2021,17711
30-Sep-2021,17618
01-Oct-2021,17532
04-Oct-2021,17691
05-Oct-2021,17822
06-Oct-2021,17646
07-Oct-2021,17790
08-Oct-2021,17895
11-Oct-2021,17946
12-Oct-2021,17992
13-Oct-2021,18162
14-Oct-2021,18339
18-Oct-2021,18477
19-Oct-2021,18419
20-Oct-2021,18267
21-Oct-2021,18178
22-Oct-2021,18115
25-Oct-2021,18125
26-Oct-2021,18268
27-Oct-2021,18211
28-Oct-2021,17857
29-Oct-2021,17672
01-Nov-2021,17930
02-Nov-2021,17889
03-Nov-2021,17829
04-Nov-2021,17917
08-Nov-2021,18069
09-Nov-2021,18044
10-Nov-2021,18017
11-Nov-2021,17874
12-Nov-2021,18103
15-Nov-2021,18109
16-Nov-2021,17999
17-Nov-2021,17899
18-Nov-2021,17765
22-Nov-2021,17417
23-Nov-2021,17503
24-Nov-2021,17415
25-Nov-2021,17536
26-Nov-2021,17026
29-Nov-2021,17054
30-Nov-2021,16983
01-Dec-2021,17167
02-Dec-2021,17402
03-Dec-2021,17197
06-Dec-2021,16912
07-Dec-2021,17177
08-Dec-2021,17470
09-Dec-2021,17517
10-Dec-2021,17511
13-Dec-2021,17368
14-Dec-2021,17325
15-Dec-2021,17221
16-Dec-2021,17248
17-Dec-2021,16985
20-Dec-2021,16614
21-Dec-2021,16771
22-Dec-2021,16955
23-Dec-2021,17073
24-Dec-2021,17004
27-Dec-2021,17086
28-Dec-2021,17233
29-Dec-2021,17214
30-Dec-2021,17204
