Date,Values
01-Dec-2021,697
30-Nov-2021,703
29-Nov-2021,692
26-Nov-2021,710
25-Nov-2021,736
24-Nov-2021,745
23-Nov-2021,736
22-Nov-2021,756
18-Nov-2021,785
17-Nov-2021,811
16-Nov-2021,795
15-Nov-2021,785
12-Nov-2021,787
11-Nov-2021,801
10-Nov-2021,838
09-Nov-2021,826
08-Nov-2021,801
04-Nov-2021,778
03-Nov-2021,778
02-Nov-2021,786
01-Nov-2021,781
29-Oct-2021,764
28-Oct-2021,773
27-Oct-2021,789
26-Oct-2021,773
25-Oct-2021,775
22-Oct-2021,792
21-Oct-2021,779
20-Oct-2021,780
19-Oct-2021,798
18-Oct-2021,807
14-Oct-2021,806
13-Oct-2021,802
12-Oct-2021,794
11-Oct-2021,779
08-Oct-2021,752
07-Oct-2021,739
06-Oct-2021,725
05-Oct-2021,728
04-Oct-2021,738
01-Oct-2021,731
30-Sep-2021,743
29-Sep-2021,745
28-Sep-2021,772
27-Sep-2021,765
24-Sep-2021,756
23-Sep-2021,755
22-Sep-2021,741
21-Sep-2021,738
20-Sep-2021,751
17-Sep-2021,770
16-Sep-2021,786
15-Sep-2021,783
14-Sep-2021,783
13-Sep-2021,773
09-Sep-2021,768
08-Sep-2021,774
07-Sep-2021,781
06-Sep-2021,796
03-Sep-2021,798
02-Sep-2021,781
