Date,Value 3
01-Jun-2021,15528
02-Jun-2021,15460
03-Jun-2021,15611
04-Jun-2021,15622
07-Jun-2021,15678
08-Jun-2021,15680
09-Jun-2021,15567
10-Jun-2021,15649
11-Jun-2021,15750
14-Jun-2021,15607
15-Jun-2021,15842
16-Jun-2021,15743
17-Jun-2021,15617
18-Jun-2021,15451
21-Jun-2021,15506
22-Jun-2021,15752
23-Jun-2021,15674
24-Jun-2021,15703
25-Jun-2021,15772
28-Jun-2021,15792
29-Jun-2021,15724
30-Jun-2021,15709
01-Jul-2021,15667
02-Jul-2021,15636
05-Jul-2021,15762
06-Jul-2021,15801
07-Jul-2021,15780
08-Jul-2021,15683
09-Jul-2021,15633
12-Jul-2021,15645
13-Jul-2021,15745
14-Jul-2021,15764
15-Jul-2021,15855
16-Jul-2021,15883
19-Jul-2021,15708
20-Jul-2021,15579
22-Jul-2021,15726
23-Jul-2021,15768
26-Jul-2021,15797
27-Jul-2021,15701
28-Jul-2021,15513
29-Jul-2021,15738
30-Jul-2021,15745
02-Aug-2021,15835
03-Aug-2021,15914
04-Aug-2021,16176
05-Aug-2021,16210
06-Aug-2021,16223
09-Aug-2021,16179
10-Aug-2021,16202
11-Aug-2021,16163
12-Aug-2021,16287
13-Aug-2021,16376
16-Aug-2021,16481
17-Aug-2021,16495
18-Aug-2021,16536
20-Aug-2021,16376
23-Aug-2021,16396
24-Aug-2021,16495
25-Aug-2021,16618
26-Aug-2021,16603
27-Aug-2021,16566
30-Aug-2021,16765
31-Aug-2021,16916
01-Sep-2021,17055
02-Sep-2021,17060
03-Sep-2021,17212
06-Sep-2021,17346
07-Sep-2021,17287
08-Sep-2021,17254
09-Sep-2021,17303
13-Sep-2021,17269
14-Sep-2021,17367
15-Sep-2021,17387
16-Sep-2021,17510
17-Sep-2021,17538
20-Sep-2021,17362
21-Sep-2021,17326
22-Sep-2021,17524
23-Sep-2021,17647
24-Sep-2021,17819
27-Sep-2021,17803
28-Sep-2021,17576
29-Sep-2021,17608
30-Sep-2021,17585
01-Oct-2021,17453
04-Oct-2021,17581
05-Oct-2021,17641
06-Oct-2021,17613
07-Oct-2021,17764
08-Oct-2021,17840
11-Oct-2021,17839
12-Oct-2021,17865
13-Oct-2021,18051
14-Oct-2021,18249
18-Oct-2021,18445
19-Oct-2021,18378
20-Oct-2021,18209
21-Oct-2021,18048
22-Oct-2021,18034
25-Oct-2021,17969
26-Oct-2021,18099
27-Oct-2021,18168
28-Oct-2021,17799
29-Oct-2021,17613
01-Nov-2021,17697
02-Nov-2021,17848
03-Nov-2021,17758
04-Nov-2021,17901
08-Nov-2021,17836
09-Nov-2021,17983
10-Nov-2021,17915
11-Nov-2021,17798
12-Nov-2021,17906
15-Nov-2021,18071
16-Nov-2021,17959
17-Nov-2021,17879
18-Nov-2021,17689
22-Nov-2021,17280
23-Nov-2021,17216
24-Nov-2021,17354
25-Nov-2021,17352
26-Nov-2021,16986
29-Nov-2021,16782
30-Nov-2021,16931
01-Dec-2021,17064
02-Dec-2021,17149
03-Dec-2021,17181
06-Dec-2021,16892
07-Dec-2021,16988
08-Dec-2021,17309
09-Dec-2021,17380
10-Dec-2021,17405
13-Dec-2021,17356
14-Dec-2021,17226
15-Dec-2021,17192
16-Dec-2021,17185
17-Dec-2021,16966
20-Dec-2021,16410
21-Dec-2021,16688
22-Dec-2021,16820
23-Dec-2021,17016
24-Dec-2021,16910
27-Dec-2021,16833
28-Dec-2021,17161
29-Dec-2021,17177
30-Dec-2021,17146
